building_id,building_type,nb_houses,infrastructure_id,infrastructure_type,cost,time,priority_score,efficiency
281,habitation,1,0,aérien,50.0,0.0,10,0.02
282,habitation,1,0,aérien,50.0,0.0,10,0.02
283,habitation,1,0,aérien,50.0,0.0,10,0.02
284,habitation,1,0,aérien,50.0,0.0,10,0.02
285,habitation,1,0,aérien,50.0,0.0,10,0.02
286,habitation,1,0,aérien,50.0,0.0,10,0.02
287,habitation,1,0,aérien,50.0,0.0,10,0.02
288,habitation,1,0,aérien,50.0,0.0,10,0.02
289,habitation,1,0,aérien,50.0,0.0,10,0.02
290,habitation,1,0,aérien,50.0,0.0,10,0.02
291,habitation,1,0,aérien,50.0,0.0,10,0.02
292,habitation,1,0,aérien,50.0,0.0,10,0.02
293,habitation,1,0,aérien,50.0,0.0,10,0.02
294,habitation,1,0,aérien,50.0,0.0,10,0.02
295,habitation,1,0,aérien,50.0,0.0,10,0.02
296,habitation,1,0,aérien,50.0,0.0,10,0.02
297,habitation,1,0,aérien,50.0,0.0,10,0.02
298,habitation,1,0,aérien,50.0,0.0,10,0.02
299,habitation,1,0,aérien,50.0,0.0,10,0.02
300,habitation,1,0,aérien,50.0,0.0,10,0.02
301,habitation,1,0,aérien,50.0,0.0,10,0.02
302,habitation,1,0,aérien,50.0,0.0,10,0.02
303,habitation,1,0,aérien,50.0,0.0,10,0.02
304,habitation,1,0,aérien,50.0,0.0,10,0.02
305,habitation,1,0,aérien,50.0,0.0,10,0.02
306,habitation,1,0,aérien,50.0,0.0,10,0.02
307,habitation,1,0,aérien,50.0,0.0,10,0.02
308,habitation,1,0,aérien,50.0,0.0,10,0.02
309,habitation,1,0,aérien,50.0,0.0,10,0.02
310,habitation,1,0,aérien,50.0,0.0,10,0.02
311,habitation,1,0,aérien,50.0,0.0,10,0.02
312,habitation,1,0,aérien,50.0,0.0,10,0.02
313,habitation,1,0,aérien,50.0,0.0,10,0.02
314,habitation,1,0,aérien,50.0,0.0,10,0.02
315,habitation,1,0,aérien,50.0,0.0,10,0.02
316,habitation,1,0,aérien,50.0,0.0,10,0.02
317,habitation,1,0,aérien,50.0,0.0,10,0.02
318,habitation,1,0,aérien,50.0,0.0,10,0.02
319,habitation,1,0,aérien,50.0,0.0,10,0.02
320,habitation,1,0,aérien,50.0,0.0,10,0.02
321,habitation,1,0,aérien,50.0,0.0,10,0.02
322,habitation,1,0,aérien,50.0,0.0,10,0.02
323,habitation,1,0,aérien,50.0,0.0,10,0.02
324,habitation,1,0,aérien,50.0,0.0,10,0.02
325,habitation,1,0,aérien,50.0,0.0,10,0.02
326,habitation,1,0,aérien,50.0,0.0,10,0.02
327,habitation,1,0,aérien,50.0,0.0,10,0.02
328,habitation,1,0,aérien,50.0,0.0,10,0.02
329,habitation,1,0,aérien,50.0,0.0,10,0.02
330,habitation,1,0,aérien,50.0,0.0,10,0.02
331,habitation,1,0,aérien,50.0,0.0,10,0.02
332,habitation,1,0,aérien,50.0,0.0,10,0.02
333,habitation,1,0,aérien,50.0,0.0,10,0.02
334,habitation,1,0,aérien,50.0,0.0,10,0.02
335,habitation,1,0,aérien,50.0,0.0,10,0.02
336,habitation,1,0,aérien,50.0,0.0,10,0.02
337,habitation,1,0,aérien,50.0,0.0,10,0.02
338,habitation,1,0,aérien,50.0,0.0,10,0.02
339,habitation,1,0,aérien,50.0,0.0,10,0.02
340,habitation,1,0,aérien,50.0,0.0,10,0.02
341,habitation,1,0,aérien,50.0,0.0,10,0.02
342,habitation,1,0,aérien,50.0,0.0,10,0.02
343,habitation,1,0,aérien,50.0,0.0,10,0.02
344,habitation,1,0,aérien,50.0,0.0,10,0.02
345,habitation,1,0,aérien,50.0,0.0,10,0.02
346,habitation,1,0,aérien,50.0,0.0,10,0.02
